"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 18 00:13:24 GMT 2022","Sun Dec 18 00:13:25 GMT 2022","562","tests","test_TC_007_03_sort_products_by_price_asc","Test","","","test_TC_007_03_sort_products_by_price_asc[standard_user-secret_sauce]",""
"skipped","Sun Dec 18 00:13:53 GMT 2022","Sun Dec 18 00:13:53 GMT 2022","487","tests","test_TC_014_02_return_to_catalog","Tests","","","test_return_to_the_catalog_all_items[problem_user-secret_sauce]",""
"passed","Sun Dec 18 00:14:40 GMT 2022","Sun Dec 18 00:14:41 GMT 2022","589","tests","test_TC_016_01_return_to_catalog_after_order","TestSample","","","test_user_can_go_to_cart_page[standard_user-secret_sauce]","Checks whether a user can navigate to the cart page of a website after logging in and adding items to cart.

        Args:
            d: WebDriver
            username: used to specify the username of the user
            password: used to specify the password of the user
        "
"passed","Sun Dec 18 00:13:58 GMT 2022","Sun Dec 18 00:14:30 GMT 2022","32107","tests","test_TC_015_01_Save_cart_after_re_login","TestSample","","","test_tc_015_01_save_cart_after_re_login[performance_glitch_user-secret_sauce]","Check save cart data of current user after re-login

        Args:
            d: WebDriver
            username: username
            password: password
        "
"skipped","Sun Dec 18 00:12:51 GMT 2022","Sun Dec 18 00:12:52 GMT 2022","746","tests","test_TC_002_read_privacy_policy","Tests","","","test_TC_003_03_read_privacy_policy_from_checkout",""
"skipped","Sun Dec 18 00:15:26 GMT 2022","Sun Dec 18 00:15:27 GMT 2022","875","tests","test_TC_016_01_return_to_catalog_after_order","TestSample","","","test_TC_016_01_return_to_catalog_after_order[problem_user-secret_sauce]","Checks whether a user can return to the products page of a website
        after completing an order and verifying that the cart is empty

        Args:
            d: WebDriver
            username: used to specify the username of the user
            password: used to specify the password of the user
        "
"passed","Sun Dec 18 00:13:25 GMT 2022","Sun Dec 18 00:13:35 GMT 2022","10432","tests","test_TC_007_03_sort_products_by_price_asc","Test","","","test_TC_007_03_sort_products_by_price_asc[performance_glitch_user-secret_sauce]",""
"passed","Sun Dec 18 00:13:38 GMT 2022","Sun Dec 18 00:13:39 GMT 2022","240","tests","test_TC_011_07_add_remove_all_items","TestAddRemoveAllItems","","","test_TC_011_07_remove_all_from_cart",""
"passed","Sun Dec 18 00:13:13 GMT 2022","Sun Dec 18 00:13:15 GMT 2022","1313","tests","test_TC_006_01_adding_items_to_your_non_empty_cart","TestAddToCartAllItems","","","test_TC_006_01_add_to_cart",""
"skipped","Sun Dec 18 00:12:50 GMT 2022","Sun Dec 18 00:12:51 GMT 2022","498","tests","test_TC_002_read_privacy_policy","Tests","","","test_TC_002_02_read_privacy_policy_from_cart",""
